model,phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,step
VGG16+Inception+ViT,Phase A,1,1.2538,0.664,1.1432,0.686,0.254,1
VGG16+Inception+ViT,Phase A,2,1.0859,0.714,1.0425,0.72,0.396,2
VGG16+Inception+ViT,Phase A,3,1.0135,0.749,0.9558,0.764,0.444,3
VGG16+Inception+ViT,Phase A,4,0.9724,0.769,0.8905,0.806,0.587,4
VGG16+Inception+ViT,Phase A,5,0.9363,0.79,0.8807,0.812,0.574,5
VGG16+Inception+ViT,Phase A,6,0.9275,0.794,0.8742,0.808,0.547,6
VGG16+Inception+ViT,Phase A,7,0.8917,0.808,0.8512,0.818,0.6,7
VGG16+Inception+ViT,Phase A,8,0.8725,0.817,0.8281,0.82,0.602,8
VGG16+Inception+ViT,Phase A,9,0.8465,0.83,0.8679,0.808,0.587,9
VGG16+Inception+ViT,Phase A,10,0.8318,0.842,0.8107,0.837,0.666,10
VGG16+Inception+ViT,Phase A,11,0.8126,0.844,0.7948,0.854,0.693,11
VGG16+Inception+ViT,Phase A,12,0.7909,0.857,0.8012,0.856,0.691,12
VGG16+Inception+ViT,Phase A,13,0.7773,0.864,0.8026,0.84,0.685,13
VGG16+Inception+ViT,Phase A,14,0.7649,0.865,0.7862,0.861,0.713,14
VGG16+Inception+ViT,Phase A,15,0.7677,0.869,0.7864,0.858,0.707,15
VGG16+Inception+ViT,Phase B,1,0.7709,0.866,0.7824,0.86,0.696,16
VGG16+Inception+ViT,Phase B,2,0.7732,0.867,0.7857,0.856,0.685,17
VGG16+Inception+ViT,Phase B,3,0.7781,0.865,0.8164,0.834,0.673,18
VGG16+Inception+ViT,Phase B,4,0.769,0.867,0.7964,0.859,0.724,19
VGG16+Inception+ViT,Phase B,5,0.7736,0.866,0.78,0.848,0.707,20
VGG16+Inception+ViT,Phase B,6,0.7674,0.869,0.7915,0.848,0.667,21
VGG16+Inception+ViT,Phase B,7,0.7539,0.873,0.7769,0.855,0.688,22
VGG16+Inception+ViT,Phase B,8,0.7618,0.872,0.7707,0.855,0.707,23
VGG16+Inception+ViT,Phase B,9,0.7428,0.883,0.7752,0.856,0.721,24
VGG16+Inception+ViT,Phase B,10,0.7418,0.878,0.7771,0.858,0.739,25
VGG16+Inception+ViT,Phase B,11,0.7262,0.888,0.7933,0.852,0.72,26
VGG16+Inception+ViT,Phase B,12,0.7213,0.886,0.7781,0.853,0.715,27
VGG16+Inception+ViT,Phase B,13,0.7092,0.897,0.7704,0.862,0.742,28
VGG16+Inception+ViT,Phase B,14,0.707,0.897,0.7702,0.868,0.753,29
VGG16+Inception+ViT,Phase B,15,0.6968,0.903,0.7983,0.85,0.683,30
VGG16+Inception+ViT,Phase B,16,0.6936,0.903,0.7624,0.863,0.725,31
VGG16+Inception+ViT,Phase B,17,0.6847,0.909,0.7604,0.87,0.762,32
VGG16+Inception+ViT,Phase B,18,0.6882,0.908,0.7562,0.869,0.774,33
VGG16+Inception+ViT,Phase B,19,0.6767,0.916,0.7566,0.868,0.783,34
VGG16+Inception+ViT,Phase B,20,0.6732,0.914,0.7681,0.862,0.746,35
VGG16+Inception+ViT,Phase B,21,0.6588,0.919,0.7685,0.867,0.757,36
VGG16+Inception+ViT,Phase B,22,0.6548,0.925,0.7509,0.866,0.763,37
VGG16+Inception+ViT,Phase B,23,0.6492,0.926,0.7407,0.88,0.782,38
VGG16+Inception+ViT,Phase B,24,0.6481,0.929,0.7394,0.877,0.779,39
VGG16+Inception+ViT,Phase B,25,0.6348,0.935,0.759,0.874,0.753,40
VGG16+Inception+ViT,Phase B,26,0.6365,0.932,0.734,0.884,0.788,41
VGG16+Inception+ViT,Phase B,27,0.6293,0.935,0.7556,0.869,0.759,42
VGG16+Inception+ViT,Phase B,28,0.6311,0.936,0.7466,0.877,0.773,43
VGG16+Inception+ViT,Phase B,29,0.6198,0.944,0.7486,0.877,0.774,44
VGG16+Inception+ViT_v4,S1_head,1,0.7496,0.522,0.6171,0.658,0.121,1
VGG16+Inception+ViT_v4,S1_head,2,0.5911,0.668,0.6335,0.662,0.127,2
VGG16+Inception+ViT_v4,S1_head,3,0.5679,0.673,0.6311,0.652,0.128,3
VGG16+Inception+ViT_v4,S1_head,4,0.5619,0.671,0.6322,0.652,0.13,4
VGG16+Inception+ViT_v4,S1_head,5,0.5576,0.682,0.6254,0.645,0.129,5
VGG16+Inception+ViT_v4,S2_vit,1,0.5129,0.708,0.5943,0.672,0.13,6
VGG16+Inception+ViT_v4,S2_vit,2,0.4481,0.74,0.6105,0.67,0.115,7
VGG16+Inception+ViT_v4,S2_vit,3,0.4157,0.742,0.6206,0.67,0.124,8
VGG16+Inception+ViT_v4,S2_vit,4,0.3956,0.758,0.5457,0.68,0.162,9
VGG16+Inception+ViT_v4,S2_vit,5,0.3895,0.757,0.5527,0.676,0.161,10
VGG16+Inception+ViT_v4,S2_vit,6,0.3793,0.761,0.5809,0.673,0.142,11
VGG16+Inception+ViT_v4,S2_vit,7,0.3651,0.772,0.5542,0.674,0.143,12
VGG16+Inception+ViT_v4,S2_vit,8,0.3575,0.777,0.5482,0.676,0.164,13
VGG16+Inception+ViT_v4,S2_vit,9,0.3549,0.777,0.5054,0.684,0.194,14
VGG16+Inception+ViT_v4,S2_vit,10,0.3529,0.777,0.5331,0.68,0.174,15
VGG16+Inception+ViT_v4,S3_midcnn,1,0.3527,0.776,0.6046,0.674,0.146,16
VGG16+Inception+ViT_v4,S3_midcnn,2,0.3127,0.799,0.5466,0.674,0.156,17
VGG16+Inception+ViT_v4,S3_midcnn,3,0.2586,0.827,0.4214,0.728,0.364,18
VGG16+Inception+ViT_v4,S3_midcnn,4,0.2274,0.844,0.314,0.778,0.506,19
VGG16+Inception+ViT_v4,S3_midcnn,5,0.1929,0.863,0.2955,0.794,0.58,20
VGG16+Inception+ViT_v4,S3_midcnn,6,0.1721,0.883,0.3036,0.8,0.595,21
VGG16+Inception+ViT_v4,S3_midcnn,7,0.1532,0.894,0.3136,0.804,0.614,22
VGG16+Inception+ViT_v4,S3_midcnn,8,0.1335,0.912,0.2869,0.815,0.653,23
VGG16+Inception+ViT_v4,S3_midcnn,9,0.1261,0.915,0.2913,0.815,0.657,24
VGG16+Inception+ViT_v4,S3_midcnn,10,0.1229,0.92,0.2761,0.824,0.677,25
VGG16+Inception+ViT_v4,S4_full,1,0.1216,0.919,0.3163,0.8,0.625,26
VGG16+Inception+ViT_v4,S4_full,2,0.1269,0.914,0.3401,0.798,0.613,27
VGG16+Inception+ViT_v4,S4_full,3,0.1235,0.917,0.325,0.814,0.605,28
VGG16+Inception+ViT_v4,S4_full,4,0.1151,0.923,0.3011,0.822,0.68,29
VGG16+Inception+ViT_v4,S4_full,5,0.1081,0.926,0.2988,0.822,0.679,30
VGG16+Inception+ViT_v4,S4_full,6,0.1034,0.931,0.3133,0.826,0.685,31
VGG16+Inception+ViT_v4,S4_full,7,0.0975,0.937,0.3095,0.83,0.681,32
VGG16+Inception+ViT_v4,S4_full,8,0.0929,0.938,0.3076,0.826,0.669,33
VGG16+Inception+ViT_v4,S4_full,9,0.0838,0.943,0.305,0.831,0.688,34
VGG16+Inception+ViT_v4,S4_full,10,0.0779,0.949,0.3286,0.833,0.68,35
VGG16+Inception+ViT_v4,S4_full,11,0.0798,0.95,0.3029,0.838,0.7,36
VGG16+Inception+ViT_v4,S4_full,12,0.0737,0.954,0.3153,0.836,0.692,37
VGG16+Inception+ViT_v4,Phase A,1,0.4837,0.713,0.5157,0.672,0.263,38
VGG16+Inception+ViT_v4,Phase A,2,0.3278,0.795,0.4692,0.689,0.217,39
VGG16+Inception+ViT_v4,Phase A,3,0.2879,0.811,0.4617,0.718,0.338,40
VGG16+Inception+ViT_v4,Phase A,4,0.2672,0.819,0.5961,0.691,0.251,41
VGG16+Inception+ViT_v4,Phase A,5,0.2433,0.838,0.4629,0.69,0.285,42
VGG16+Inception+ViT_v4,Phase A,6,0.2235,0.849,0.2919,0.79,0.563,43
VGG16+Inception+ViT_v4,Phase A,7,0.211,0.852,0.348,0.758,0.492,44
VGG16+Inception+ViT_v4,Phase A,8,0.1931,0.859,0.2767,0.802,0.613,45
VGG16+Inception+ViT_v4,Phase A,9,0.18,0.87,0.3093,0.784,0.56,46
VGG16+Inception+ViT_v4,Phase A,10,0.1744,0.874,0.247,0.812,0.645,47
VGG16+Inception+ViT_v4,Phase A,11,0.1626,0.879,0.3626,0.756,0.514,48
VGG16+Inception+ViT_v4,Phase A,12,0.153,0.886,0.3011,0.782,0.547,49
VGG16+Inception+ViT_v4,Phase A,13,0.1467,0.895,0.2183,0.826,0.699,50
VGG16+Inception+ViT_v4,Phase A,14,0.1271,0.905,0.3141,0.78,0.636,51
VGG16+Inception+ViT_v4,Phase A,15,0.1191,0.908,0.253,0.83,0.692,52
VGG16+Inception+ViT_v4,Phase A,16,0.1047,0.92,0.2082,0.833,0.743,53
VGG16+Inception+ViT_v4,Phase A,17,0.0907,0.932,0.4457,0.76,0.514,54
VGG16+Inception+ViT_v4,Phase A,18,0.088,0.937,0.2087,0.854,0.743,55
VGG16+Inception+ViT_v4,Phase A,19,0.0756,0.948,0.2845,0.828,0.692,56
VGG16+Inception+ViT_v4,Phase A,20,0.0658,0.957,0.2212,0.846,0.725,57
VGG16+Inception+ViT_v4,Phase A,21,0.0576,0.963,0.2077,0.846,0.738,58
VGG16+Inception+ViT_v4,Phase A,22,0.0523,0.965,0.1948,0.859,0.766,59
VGG16+Inception+ViT_v4,Phase A,23,0.0465,0.972,0.2023,0.869,0.77,60
VGG16+Inception+ViT_v4,Phase A,24,0.0412,0.974,0.2093,0.862,0.748,61
VGG16+Inception+ViT_v4,Phase A,25,0.0386,0.979,0.2043,0.861,0.774,62
VGG16+Inception+ViT_v4,Phase A,26,0.0316,0.985,0.2078,0.866,0.764,63
VGG16+Inception+ViT_v4,Phase A,27,0.0324,0.985,0.2118,0.866,0.769,64
VGG16+Inception+ViT_v4,Phase A,28,0.0313,0.986,0.2084,0.869,0.777,65
VGG16+Inception+ViT_v4,Phase A,29,0.0286,0.988,0.2067,0.871,0.775,66
VGG16+Inception+ViT_v4,Phase A,30,0.0298,0.987,0.2032,0.87,0.779,67
VGG16+Inception+ViT_v4,Phase A,16,0.0323,0.989,0.2962,0.827,0.683,68
VGG16+Inception+ViT_v4,Phase A,17,0.042,0.979,0.3786,0.78,0.638,69
VGG16+Inception+ViT_v4,Phase A,18,0.072,0.956,0.4715,0.779,0.509,70
VGG16+Inception+ViT_v4,Phase A,19,0.0888,0.943,0.3723,0.764,0.571,71
VGG16+Inception+ViT_v4,Phase A,20,0.0867,0.946,0.41,0.78,0.518,72
VGG16+Inception+ViT_v4,Phase A,21,0.0686,0.96,0.4653,0.782,0.529,73
VGG16+Inception+ViT_v4,Phase A,22,0.0634,0.964,0.3885,0.76,0.634,74
VGG16+Inception+ViT_v4,Phase A,23,0.0487,0.972,0.4425,0.774,0.568,75
VGG16+Inception+ViT_v4,Phase A,24,0.0486,0.973,0.4489,0.756,0.593,76
VGG16+Inception+ViT_v4,Phase A,25,0.0463,0.974,0.3691,0.817,0.643,77
VGG16+Inception+ViT_v4,Phase A,26,0.0414,0.982,0.4172,0.797,0.576,78
VGG16+Inception+ViT_v4,Phase B,1,0.0304,0.985,0.2112,0.868,0.767,79
VGG16+Inception+ViT_v4,Phase B,2,0.0305,0.985,0.2036,0.864,0.766,80
VGG16+Inception+ViT_v4,Phase B,3,0.0301,0.987,0.2159,0.867,0.769,81
